user_id,screen_name,log_time,group
user_1,A,2024-01-01 00:00:00,A
user_1,B,2024-01-01 00:01:00,A
user_1,C,2024-01-01 00:02:00,A
user_1,D,2024-01-01 00:04:00,A
user_1,E,2024-01-01 00:07:00,A
user_1,F,2024-01-01 00:08:00,A
user_2,A,2024-01-01 00:00:00,A
user_2,B,2024-01-01 00:03:00,A
user_2,C,2024-01-01 00:05:00,A
user_2,D,2024-01-01 00:07:00,A
user_2,E,2024-01-01 00:08:00,A
user_2,F,2024-01-01 00:10:00,A
user_3,A,2024-01-01 00:00:00,A
user_3,B,2024-01-01 00:01:00,A
user_3,C,2024-01-01 00:04:00,A
user_3,D,2024-01-01 00:07:00,A
user_3,E,2024-01-01 00:10:00,A
user_3,F,2024-01-01 00:13:00,A
user_4,A,2024-01-01 00:00:00,A
user_5,A,2024-01-01 00:00:00,A
user_5,B,2024-01-01 00:01:00,A
user_6,A,2024-01-01 00:00:00,A
user_6,B,2024-01-01 00:03:00,A
user_6,C,2024-01-01 00:04:00,A
user_7,A,2024-01-01 00:00:00,A
user_8,A,2024-01-01 00:00:00,A
user_8,B,2024-01-01 00:01:00,A
user_8,C,2024-01-01 00:04:00,A
user_8,D,2024-01-01 00:05:00,A
user_9,A,2024-01-01 00:00:00,A
user_9,B,2024-01-01 00:01:00,A
user_9,C,2024-01-01 00:03:00,A
user_9,D,2024-01-01 00:05:00,A
user_9,E,2024-01-01 00:07:00,A
user_9,F,2024-01-01 00:09:00,A
user_10,A,2024-01-01 00:00:00,A
user_11,A,2024-01-01 00:00:00,A
user_12,A,2024-01-01 00:00:00,A
user_13,A,2024-01-01 00:00:00,A
user_13,B,2024-01-01 00:03:00,A
user_13,C,2024-01-01 00:06:00,A
user_13,D,2024-01-01 00:08:00,A
user_13,E,2024-01-01 00:09:00,A
user_13,F,2024-01-01 00:10:00,A
user_14,A,2024-01-01 00:00:00,A
user_14,B,2024-01-01 00:01:00,A
user_14,C,2024-01-01 00:02:00,A
user_14,D,2024-01-01 00:05:00,A
user_14,E,2024-01-01 00:06:00,A
user_15,A,2024-01-01 00:00:00,A
user_16,A,2024-01-01 00:00:00,A
user_16,B,2024-01-01 00:03:00,A
user_17,A,2024-01-01 00:00:00,A
user_17,B,2024-01-01 00:03:00,A
user_18,A,2024-01-01 00:00:00,A
user_18,B,2024-01-01 00:02:00,A
user_18,C,2024-01-01 00:03:00,A
user_19,A,2024-01-01 00:00:00,A
user_20,A,2024-01-01 00:00:00,A
user_20,B,2024-01-01 00:01:00,A
user_20,C,2024-01-01 00:04:00,A
user_20,D,2024-01-01 00:05:00,A
user_20,E,2024-01-01 00:07:00,A
user_21,A,2024-01-01 00:00:00,A
user_21,B,2024-01-01 00:01:00,A
user_22,A,2024-01-01 00:00:00,A
user_23,A,2024-01-01 00:00:00,A
user_23,B,2024-01-01 00:03:00,A
user_24,A,2024-01-01 00:00:00,A
user_24,B,2024-01-01 00:01:00,A
user_25,A,2024-01-01 00:00:00,A
user_25,B,2024-01-01 00:01:00,A
user_25,C,2024-01-01 00:04:00,A
user_25,D,2024-01-01 00:05:00,A
user_25,E,2024-01-01 00:07:00,A
user_25,F,2024-01-01 00:10:00,A
user_26,A,2024-01-01 00:00:00,A
user_26,B,2024-01-01 00:03:00,A
user_26,C,2024-01-01 00:04:00,A
user_26,D,2024-01-01 00:07:00,A
user_26,E,2024-01-01 00:09:00,A
user_26,F,2024-01-01 00:11:00,A
user_27,A,2024-01-01 00:00:00,A
user_27,B,2024-01-01 00:02:00,A
user_27,C,2024-01-01 00:04:00,A
user_27,D,2024-01-01 00:06:00,A
user_27,E,2024-01-01 00:07:00,A
user_27,F,2024-01-01 00:08:00,A
user_28,A,2024-01-01 00:00:00,A
user_28,B,2024-01-01 00:03:00,A
user_28,C,2024-01-01 00:04:00,A
user_28,D,2024-01-01 00:07:00,A
user_28,E,2024-01-01 00:10:00,A
user_28,F,2024-01-01 00:11:00,A
user_29,A,2024-01-01 00:00:00,A
user_29,B,2024-01-01 00:02:00,A
user_29,C,2024-01-01 00:05:00,A
user_29,D,2024-01-01 00:06:00,A
user_29,E,2024-01-01 00:08:00,A
user_30,A,2024-01-01 00:00:00,A
user_31,A,2024-01-01 00:00:00,A
user_31,B,2024-01-01 00:02:00,A
user_32,A,2024-01-01 00:00:00,A
user_32,B,2024-01-01 00:01:00,A
user_32,C,2024-01-01 00:03:00,A
user_32,D,2024-01-01 00:05:00,A
user_32,E,2024-01-01 00:06:00,A
user_32,F,2024-01-01 00:08:00,A
user_33,A,2024-01-01 00:00:00,A
user_33,B,2024-01-01 00:02:00,A
user_34,A,2024-01-01 00:00:00,A
user_34,B,2024-01-01 00:03:00,A
user_35,A,2024-01-01 00:00:00,A
user_35,B,2024-01-01 00:03:00,A
user_36,A,2024-01-01 00:00:00,A
user_36,B,2024-01-01 00:02:00,A
user_37,A,2024-01-01 00:00:00,A
user_37,B,2024-01-01 00:01:00,A
user_37,C,2024-01-01 00:04:00,A
